,Concatenated,PID,Leads,Cost,Web DIFM Sales,Phone DIFM Sales,Total DIFM Sales,DIFM Web Installs,DIFM Phone Installs,Total DIFM Installs,DIY Web Sales,DIY Phone Sales,Total DIY Sales,Revenue,Profit/Loss,Projected Installs,Projected Revenue,Projected Profit/Loss,Projected Margin,Current Rate,eCPL
0,10253_2119838592752416823,10253,16,$720.00,0,0,0,0,0,0,0,0,0,$0.00,$-720.00,0,$0.00,$-720.00,-,$45.00,$0.00
1,10253_749443058021887872,10253,8,$560.00,2,1,3,1,0,1,0,0,0,"$1,080.00",$520.00,2,"$2,160.00","$1,600.00",74.07%,$70.00,$270.00
2,10253_964621889301563695,10253,34,$450.00,0,0,0,0,0,0,0,0,0,$0.00,$-450.00,0,$0.00,$-450.00,-,$15.00,$0.00
3,10253_,10253,1,$60.00,1,0,1,1,0,1,0,0,0,"$1,080.00","$1,020.00",1,"$1,080.00","$1,020.00",94.44%,$60.00,"$1,080.00"
4,11285_4431,11285,51,"$5,355.00",5,0,5,2,0,2,0,0,0,"$2,160.00","$-3,195.00",4,"$4,320.00","$-1,035.00",-,$105.00,$84.71
5,22976_160005,22976,113,"$11,300.00",16,12,28,8,2,10,1,1,2,"$11,400.00",$100.00,20,"$22,200.00","$10,900.00",49.10%,$100.00,$196.46
6,22976_160007,22976,20,"$2,500.00",6,4,10,2,1,3,0,0,0,"$3,240.00",$740.00,7,"$7,560.00","$5,060.00",66.93%,$125.00,$378.00
7,41610_160005,41610,25,$0.25,6,0,6,3,0,3,0,0,0,"$3,240.00","$3,239.75",4,"$4,320.00","$4,319.75",99.99%,$0.01,$172.80
8,41752_,41752,1,$70.00,0,0,0,0,0,0,0,0,0,$0.00,$-70.00,0,$0.00,$-70.00,-,$70.00,$0.00
9,41780_1474,41780,1,$70.00,0,0,0,0,0,0,0,0,0,$0.00,$-70.00,0,$0.00,$-70.00,-,$70.00,$0.00
10,41780_669,41780,2,$140.00,0,0,0,0,0,0,0,0,0,$0.00,$-140.00,0,$0.00,$-140.00,-,$70.00,$0.00
11,41899_601199,41899,9,$720.00,1,0,1,0,0,0,0,0,0,$0.00,$-720.00,1,"$1,080.00",$360.00,33.33%,$80.00,$120.00
12,41899_601262,41899,10,"$1,300.00",1,1,2,1,0,1,0,0,0,"$1,080.00",$-220.00,1,"$1,080.00",$-220.00,-,$130.00,$108.00
13,41899_601264,41899,1,$90.00,1,0,1,0,0,0,0,0,0,$0.00,$-90.00,1,"$1,080.00",$990.00,91.67%,$90.00,"$1,080.00"
14,41899_601282,41899,4,$290.00,1,0,1,0,0,0,0,0,0,$0.00,$-290.00,1,"$1,080.00",$790.00,73.15%,$50.00,$270.00
15,41899_601301,41899,17,"$2,125.00",4,2,6,1,0,1,0,0,0,"$1,080.00","$-1,045.00",4,"$4,320.00","$2,195.00",50.81%,$125.00,$254.12
16,41899_601370,41899,26,"$3,640.00",1,1,2,0,1,1,0,0,0,"$1,080.00","$-2,560.00",1,"$1,080.00","$-2,560.00",-,$140.00,$41.54
17,41899_601381,41899,6,$780.00,0,0,0,0,0,0,0,0,0,$0.00,$-780.00,0,$0.00,$-780.00,-,$130.00,$0.00
18,41899_601431,41899,9,$900.00,0,0,0,0,0,0,0,0,0,$0.00,$-900.00,0,$0.00,$-900.00,-,$100.00,$0.00
19,41899_601432,41899,2,$160.00,0,0,0,0,0,0,0,0,0,$0.00,$-160.00,0,$0.00,$-160.00,-,$80.00,$0.00
20,41899_601449,41899,2,$160.00,0,0,0,0,0,0,0,0,0,$0.00,$-160.00,0,$0.00,$-160.00,-,$80.00,$0.00
21,41899_601453,41899,9,"$1,170.00",2,0,2,1,0,1,0,0,0,"$1,080.00",$-90.00,1,"$1,080.00",$-90.00,-,$130.00,$120.00
22,41899_601463,41899,2,$160.00,0,0,0,0,0,0,0,0,0,$0.00,$-160.00,0,$0.00,$-160.00,-,$80.00,$0.00
23,41899_601466,41899,1,$80.00,0,0,0,0,0,0,0,0,0,$0.00,$-80.00,0,$0.00,$-80.00,-,$80.00,$0.00
24,41899_601467,41899,8,$960.00,1,0,1,1,0,1,1,0,1,"$1,380.00",$420.00,1,"$1,380.00",$420.00,30.43%,$120.00,$172.50
25,41899_601493,41899,7,$630.00,2,0,2,1,0,1,0,0,0,"$1,080.00",$450.00,1,"$1,080.00",$450.00,41.67%,$90.00,$154.29
26,41899_601494,41899,4,$320.00,0,0,0,0,0,0,0,0,0,$0.00,$-320.00,0,$0.00,$-320.00,-,$80.00,$0.00
27,41899_601498,41899,1,$110.00,0,0,0,0,0,0,0,0,0,$0.00,$-110.00,0,$0.00,$-110.00,-,$110.00,$0.00
28,41899_601499,41899,2,$160.00,1,0,1,0,0,0,0,0,0,$0.00,$-160.00,1,"$1,080.00",$920.00,85.19%,$80.00,$540.00
29,41899_601500,41899,2,$180.00,0,0,0,0,0,0,0,0,0,$0.00,$-180.00,0,$0.00,$-180.00,-,$90.00,$0.00
30,41899_601501,41899,2,$200.00,0,0,0,0,0,0,0,0,0,$0.00,$-200.00,0,$0.00,$-200.00,-,$100.00,$0.00
31,41899_601502,41899,2,$160.00,1,0,1,0,0,0,0,0,0,$0.00,$-160.00,1,"$1,080.00",$920.00,85.19%,$80.00,$540.00
32,41899_601503,41899,4,$320.00,1,0,1,1,0,1,0,0,0,"$1,080.00",$760.00,1,"$1,080.00",$760.00,70.37%,$80.00,$270.00
33,41899_601512,41899,32,"$4,000.00",1,1,2,0,1,1,1,0,1,"$1,380.00","$-2,620.00",1,"$1,380.00","$-2,620.00",-,$125.00,$43.12
34,41899_601514,41899,7,$560.00,1,0,1,1,0,1,0,0,0,"$1,080.00",$520.00,1,"$1,080.00",$520.00,48.15%,$80.00,$154.29
35,41899_601518,41899,3,$240.00,0,0,0,0,0,0,0,0,0,$0.00,$-240.00,0,$0.00,$-240.00,-,$80.00,$0.00
36,41899_601528,41899,3,$240.00,2,0,2,0,0,0,0,0,0,$0.00,$-240.00,1,"$1,080.00",$840.00,77.78%,$80.00,$360.00
37,41938_460724,41938,1,$40.00,0,0,0,0,0,0,0,0,0,$0.00,$-40.00,0,$0.00,$-40.00,-,$40.00,$0.00
38,41938_461728,41938,1,$55.00,1,0,1,0,0,0,0,0,0,$0.00,$-55.00,1,"$1,080.00","$1,025.00",94.91%,$55.00,"$1,080.00"
39,41963_,41963,19,"$2,945.00",2,0,2,0,0,0,0,0,0,$0.00,"$-2,945.00",1,"$1,080.00","$-1,865.00",-,$155.00,$56.84
40,41964_,41964,2,$90.00,0,0,0,0,0,0,0,0,0,$0.00,$-90.00,0,$0.00,$-90.00,-,$10.00,$0.00
41,41999_13624,41999,1,$30.00,0,0,0,0,0,0,0,0,0,$0.00,$-30.00,0,$0.00,$-30.00,-,$30.00,$0.00
42,41999_4701,41999,4,$120.00,0,0,0,0,0,0,0,0,0,$0.00,$-120.00,0,$0.00,$-120.00,-,$30.00,$0.00
43,42027_,42027,10,"$1,360.00",0,3,3,0,0,0,0,0,0,$0.00,"$-1,360.00",2,"$2,160.00",$800.00,37.04%,$150.00,$216.00
44,42038_651508,42038,143,"$8,580.00",8,4,12,1,1,2,1,0,1,"$2,460.00","$-6,120.00",8,"$8,940.00",$360.00,4.03%,$60.00,$62.52
45,42060_,42060,25,"$2,665.00",4,2,6,2,2,4,0,0,0,"$4,320.00","$1,655.00",4,"$4,320.00","$1,655.00",38.31%,$115.00,$172.80
46,42159_3,42159,3,$465.00,1,3,4,1,2,3,0,0,0,"$3,240.00","$2,775.00",3,"$3,240.00","$2,775.00",85.65%,$155.00,"$1,080.00"
47,42159_403,42159,1,$115.00,0,0,0,0,0,0,0,0,0,$0.00,$-115.00,0,$0.00,$-115.00,-,$115.00,$0.00
48,42159_930,42159,2,$230.00,0,0,0,0,0,0,0,0,0,$0.00,$-230.00,0,$0.00,$-230.00,-,$115.00,$0.00
49,42215_,42215,7,$735.00,1,2,3,0,0,0,0,0,0,$0.00,$-735.00,2,"$2,160.00","$1,425.00",65.97%,$105.00,$308.57
50,42274_,42274,10,$800.00,0,0,0,0,0,0,0,0,0,$0.00,$-800.00,0,$0.00,$-800.00,-,$80.00,$0.00
51,42299_,42299,139,"$31,000.07",22,42,64,15,26,41,1,1,2,"$44,880.00","$13,879.93",45,"$49,200.00","$18,199.93",36.99%,$0.01,$353.96
52,42395_,42395,1,$70.00,0,0,0,0,0,0,0,0,0,$0.00,$-70.00,0,$0.00,$-70.00,-,$70.00,$0.00
53,42493_1002,42493,4,$120.00,0,0,0,0,0,0,0,0,0,$0.00,$-120.00,0,$0.00,$-120.00,-,$30.00,$0.00
54,42526_747,42526,1,$100.00,0,0,0,0,0,0,0,0,0,$0.00,$-100.00,0,$0.00,$-100.00,-,$100.00,$0.00
55,42629_,42629,3,$420.00,0,1,1,0,0,0,0,0,0,$0.00,$-420.00,1,"$1,080.00",$660.00,61.11%,$140.00,$360.00
56,42629_,42629,2,$280.00,0,0,0,0,0,0,0,0,0,$0.00,$-280.00,0,$0.00,$-280.00,-,$140.00,$0.00
57,42822_,42822,1,$60.00,0,0,0,0,0,0,0,0,0,$0.00,$-60.00,0,$0.00,$-60.00,-,$60.00,$0.00
58,42865_2003,42865,43,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
59,42865_654674,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
60,42865_654676,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
61,42865_654677,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
62,42865_654678,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
63,42865_654679,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
64,42865_654680,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
65,42865_654683,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
66,42865_654686,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
67,42865_654687,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
68,42865_654689,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
69,42865_654690,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
70,42865_654691,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
71,42865_654692,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
72,42865_654693,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
73,42865_654694,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
74,42865_654695,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
75,42865_654696,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
76,42865_654697,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
77,42865_654699,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
78,42865_654700,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
79,42865_654701,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
80,42865_654703,42865,1,$0.00,1,0,1,1,0,1,0,0,0,"$1,080.00","$1,080.00",1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
81,42865_654704,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
82,42865_654705,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
83,42865_654707,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
84,42865_654708,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
85,42865_654709,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
86,42865_654710,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
87,42865_654711,42865,1,$0.00,1,0,1,1,0,1,0,0,0,"$1,080.00","$1,080.00",1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
88,42865_654712,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
89,42865_654713,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
90,42865_654715,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
91,42865_654716,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
92,42865_654717,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
93,42865_654718,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
94,42865_654719,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
95,42865_654721,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
96,42865_654722,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
97,42865_654724,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
98,42865_654725,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
99,42865_654726,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
100,42865_654727,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
101,42865_654729,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
102,42865_654730,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
103,42865_654732,42865,1,$0.00,1,0,1,1,0,1,0,0,0,"$1,080.00","$1,080.00",1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
104,42865_654734,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
105,42865_654735,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
106,42865_654736,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
107,42865_654737,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
108,42865_654739,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
109,42865_654740,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
110,42865_654742,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
111,42865_654743,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
112,42865_654746,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
113,42865_654748,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
114,42865_654749,42865,1,$0.00,1,0,1,1,0,1,0,0,0,"$1,080.00","$1,080.00",1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
115,42865_654750,42865,1,$0.00,1,0,1,0,0,0,0,0,0,$0.00,$0.00,1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
116,42865_654751,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
117,42865_654753,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
118,42865_654755,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
119,42865_654756,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
120,42865_654757,42865,1,$0.00,1,0,1,0,0,0,0,0,0,$0.00,$0.00,1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
121,42865_654758,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
122,42865_654760,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
123,42865_654763,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
124,42865_654765,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
125,42865_654766,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
126,42865_654767,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
127,42865_654768,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
128,42865_654769,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
129,42865_654770,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
130,42865_654772,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
131,42865_654774,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
132,42865_654775,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
133,42865_654776,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
134,42865_654777,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
135,42865_654778,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
136,42865_654779,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
137,42865_654780,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
138,42865_654781,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
139,42865_654782,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
140,42865_654783,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
141,42865_654786,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
142,42865_654787,42865,1,$0.00,1,0,1,0,0,0,0,0,0,$0.00,$0.00,1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
143,42865_654788,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
144,42865_654790,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
145,42865_654792,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
146,42865_654793,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
147,42865_654795,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
148,42865_654798,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
149,42865_654799,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
150,42865_654800,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
151,42865_654801,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
152,42865_654803,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
153,42865_654804,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
154,42865_654805,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
155,42865_654806,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
156,42865_654808,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
157,42865_654809,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
158,42865_654810,42865,1,$0.00,1,0,1,1,0,1,0,0,0,"$1,080.00","$1,080.00",1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
159,42865_654811,42865,1,$0.00,1,0,1,1,0,1,0,0,0,"$1,080.00","$1,080.00",1,"$1,080.00","$1,080.00",100.00%,$0.00,"$1,080.00"
160,42865_654813,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
161,42865_654816,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
162,42865_654819,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
163,42865_654820,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
164,42865_654821,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
165,42865_654822,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
166,42865_654823,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
167,42865_654824,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
168,42865_654825,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
169,42865_654826,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
170,42865_654827,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
171,42865_654828,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
172,42865_654830,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
173,42865_654831,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
174,42865_654833,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
175,42865_654834,42865,1,$0.00,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,-,$0.00,$0.00
